"url_list_link","url_list_selection1_name","url_list_selection1_url"
"https___www_allrecipes_com_recipes_76_appetizers_and_snacks__page_1","",""
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Southwestern Egg Rolls","https://www.allrecipes.com/recipe/25502/southwestern-egg-rolls/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Spicy Bean Salsa","https://www.allrecipes.com/recipe/14861/spicy-bean-salsa/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Kettle Corn","https://www.allrecipes.com/recipe/20808/kettle-corn/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Japanese Chicken Wings","https://www.allrecipes.com/recipe/23312/japanese-chicken-wings/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Grilled Bacon Jalapeno Wraps","https://www.allrecipes.com/recipe/87076/grilled-bacon-jalapeno-wraps/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Bacon Cheddar Deviled Eggs","https://www.allrecipes.com/recipe/69084/bacon-cheddar-deviled-eggs/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Chocolate Chip Cheese Ball","https://www.allrecipes.com/recipe/26740/chocolate-chip-cheese-ball/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Baked Buffalo Wings","https://www.allrecipes.com/recipe/166638/baked-buffalo-wings/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Spinach Brownies","https://www.allrecipes.com/recipe/26972/spinach-brownies/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Best Spinach Dip Ever","https://www.allrecipes.com/recipe/22617/best-spinach-dip-ever/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Florentine Artichoke Dip","https://www.allrecipes.com/recipe/14930/florentine-artichoke-dip/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Spiced Pumpkin Seeds","https://www.allrecipes.com/recipe/13839/spiced-pumpkin-seeds/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","D's Famous Salsa","https://www.allrecipes.com/recipe/16259/ds-famous-salsa/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Best Ever Jalapeno Poppers","https://www.allrecipes.com/recipe/20858/best-ever-jalapeno-poppers/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Fruit Dip II","https://www.allrecipes.com/recipe/16570/fruit-dip-ii/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","BLT Dip","https://www.allrecipes.com/recipe/14944/blt-dip/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Real Hummus","https://www.allrecipes.com/recipe/26921/real-hummus/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/76/appetizers-and-snacks/?page=2","Avocado, Tomato and Mango Salsa","https://www.allrecipes.com/recipe/74694/avocado-tomato-and-mango-salsa/?internalSource=hub%20recipe&referringId=76&referringContentType=Recipe%20Hub"
