"url_list_link","url_list_selection1_name","url_list_selection1_url"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Hot Artichoke and Spinach Dip II","https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Crustless Spinach Quiche","https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Addictive Sweet Potato Burritos","https://www.allrecipes.com/recipe/13954/addictive-sweet-potato-burritos/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Lentil Soup","https://www.allrecipes.com/recipe/13978/lentil-soup/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Cranberry Sauce","https://www.allrecipes.com/recipe/9111/cranberry-sauce/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Spinach Quiche","https://www.allrecipes.com/recipe/16664/spinach-quiche/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Baked Asparagus with Balsamic Butter Sauce","https://www.allrecipes.com/recipe/59671/baked-asparagus-with-balsamic-butter-sauce/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Refried Beans Without the Refry","https://www.allrecipes.com/recipe/70312/refried-beans-without-the-refry/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Classic Macaroni Salad","https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Mexican Bean Salad","https://www.allrecipes.com/recipe/14169/mexican-bean-salad/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
