,URL,amount,nutrient,recipe
12,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,3mg,Iron,Pasta Pomodoro
13,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,0mg,Thiamin,Pasta Pomodoro
14,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,7mg,Niacin,Pasta Pomodoro
15,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,0mg,Vitamin B6,Pasta Pomodoro
16,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,15mg,Magnesium,Pasta Pomodoro
17,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,97mcg,Folate,Pasta Pomodoro
0,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,36.5g,Total Fat,Fry Bread Tacos II
1,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,14.0g,Saturated Fat,Fry Bread Tacos II
2,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,103mg,Cholesterol,Fry Bread Tacos II
3,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,2255mg,Sodium,Fry Bread Tacos II
4,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,726mg,Potassium,Fry Bread Tacos II
5,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,76.7g,Total Carbohydrates,Fry Bread Tacos II
6,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,7.2g,Dietary Fiber,Fry Bread Tacos II
7,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,40.4g,Protein,Fry Bread Tacos II
8,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,6g,Sugars,Fry Bread Tacos II
9,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,662IU,Vitamin A,Fry Bread Tacos II
10,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,4mg,Vitamin C,Fry Bread Tacos II
11,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,490mg,Calcium,Fry Bread Tacos II
12,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,7mg,Iron,Fry Bread Tacos II
13,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,1mg,Thiamin,Fry Bread Tacos II
14,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,16mg,Niacin,Fry Bread Tacos II
15,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,0mg,Vitamin B6,Fry Bread Tacos II
16,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,76mg,Magnesium,Fry Bread Tacos II
