,URL,amount,nutrient,recipe
0,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,11.1g,Total Fat,Banana-Zucchini Bread
1,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,2.0g,Saturated Fat,Banana-Zucchini Bread
2,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,28mg,Cholesterol,Banana-Zucchini Bread
3,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,230mg,Sodium,Banana-Zucchini Bread
4,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,117mg,Potassium,Banana-Zucchini Bread
5,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,40.2g,Total Carbohydrates,Banana-Zucchini Bread
6,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1.5g,Dietary Fiber,Banana-Zucchini Bread
7,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,3.9g,Protein,Banana-Zucchini Bread
8,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,21g,Sugars,Banana-Zucchini Bread
9,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,58IU,Vitamin A,Banana-Zucchini Bread
10,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,2mg,Vitamin C,Banana-Zucchini Bread
11,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,42mg,Calcium,Banana-Zucchini Bread
12,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1mg,Iron,Banana-Zucchini Bread
13,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,0mg,Thiamin,Banana-Zucchini Bread
14,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,2mg,Niacin,Banana-Zucchini Bread
15,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,0mg,Vitamin B6,Banana-Zucchini Bread
16,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,16mg,Magnesium,Banana-Zucchini Bread
17,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,51mcg,Folate,Banana-Zucchini Bread
0,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,17g,Total Fat,Monkey Bread V
1,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,4.0g,Saturated Fat,Monkey Bread V
2,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,< 1mg,Cholesterol,Monkey Bread V
3,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,787mg,Sodium,Monkey Bread V
4,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,125mg,Potassium,Monkey Bread V
5,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,56.8g,Total Carbohydrates,Monkey Bread V
6,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,1.4g,Dietary Fiber,Monkey Bread V
7,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,4.8g,Protein,Monkey Bread V
8,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,30g,Sugars,Monkey Bread V
9,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,342IU,Vitamin A,Monkey Bread V
10,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,0mg,Vitamin C,Monkey Bread V
11,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,56mg,Calcium,Monkey Bread V
12,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,2mg,Iron,Monkey Bread V
13,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,0mg,Thiamin,Monkey Bread V
14,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,3mg,Niacin,Monkey Bread V
15,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,0mg,Vitamin B6,Monkey Bread V
16,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,13mg,Magnesium,Monkey Bread V
17,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,40mcg,Folate,Monkey Bread V
0,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,10.4g,Total Fat,Joseph's Best Easy Bacon Recipe
1,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,3.0g,Saturated Fat,Joseph's Best Easy Bacon Recipe
2,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,27mg,Cholesterol,Joseph's Best Easy Bacon Recipe
3,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,574mg,Sodium,Joseph's Best Easy Bacon Recipe
4,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,140mg,Potassium,Joseph's Best Easy Bacon Recipe
5,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0.4g,Total Carbohydrates,Joseph's Best Easy Bacon Recipe
6,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0g,Dietary Fiber,Joseph's Best Easy Bacon Recipe
7,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,9.2g,Protein,Joseph's Best Easy Bacon Recipe
8,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0g,Sugars,Joseph's Best Easy Bacon Recipe
9,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,9IU,Vitamin A,Joseph's Best Easy Bacon Recipe
10,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0mg,Vitamin C,Joseph's Best Easy Bacon Recipe
11,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,3mg,Calcium,Joseph's Best Easy Bacon Recipe
12,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0mg,Iron,Joseph's Best Easy Bacon Recipe
13,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0mg,Thiamin,Joseph's Best Easy Bacon Recipe
14,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,4mg,Niacin,Joseph's Best Easy Bacon Recipe
15,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0mg,Vitamin B6,Joseph's Best Easy Bacon Recipe
16,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,8mg,Magnesium,Joseph's Best Easy Bacon Recipe
17,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,0mcg,Folate,Joseph's Best Easy Bacon Recipe
0,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,9.8g,Total Fat,French Toast Souffle
1,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,5.0g,Saturated Fat,French Toast Souffle
2,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,142mg,Cholesterol,French Toast Souffle
3,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,321mg,Sodium,French Toast Souffle
4,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,196mg,Potassium,French Toast Souffle
5,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,28.4g,Total Carbohydrates,French Toast Souffle
6,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,0.7g,Dietary Fiber,French Toast Souffle
7,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,9.8g,Protein,French Toast Souffle
8,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,12g,Sugars,French Toast Souffle
9,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,396IU,Vitamin A,French Toast Souffle
10,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,0mg,Vitamin C,French Toast Souffle
11,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,142mg,Calcium,French Toast Souffle
12,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,2mg,Iron,French Toast Souffle
13,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,0mg,Thiamin,French Toast Souffle
14,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,3mg,Niacin,French Toast Souffle
15,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,0mg,Vitamin B6,French Toast Souffle
16,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,19mg,Magnesium,French Toast Souffle
17,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,53mcg,Folate,French Toast Souffle
0,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,4.3g,Total Fat,Lower Fat Banana Bread II
1,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,1.0g,Saturated Fat,Lower Fat Banana Bread II
2,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,31mg,Cholesterol,Lower Fat Banana Bread II
3,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,225mg,Sodium,Lower Fat Banana Bread II
4,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,132mg,Potassium,Lower Fat Banana Bread II
5,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,31.2g,Total Carbohydrates,Lower Fat Banana Bread II
6,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,1.3g,Dietary Fiber,Lower Fat Banana Bread II
7,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,3.9g,Protein,Lower Fat Banana Bread II
8,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,15g,Sugars,Lower Fat Banana Bread II
9,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,69IU,Vitamin A,Lower Fat Banana Bread II
10,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,2mg,Vitamin C,Lower Fat Banana Bread II
11,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,53mg,Calcium,Lower Fat Banana Bread II
12,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,1mg,Iron,Lower Fat Banana Bread II
13,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,0mg,Thiamin,Lower Fat Banana Bread II
14,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,2mg,Niacin,Lower Fat Banana Bread II
15,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,0mg,Vitamin B6,Lower Fat Banana Bread II
16,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,17mg,Magnesium,Lower Fat Banana Bread II
17,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,45mcg,Folate,Lower Fat Banana Bread II
0,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,4.8g,Total Fat,Fluffy Canadian Pancakes
1,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,2.0g,Saturated Fat,Fluffy Canadian Pancakes
2,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,159mg,Cholesterol,Fluffy Canadian Pancakes
3,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,325mg,Sodium,Fluffy Canadian Pancakes
4,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,180mg,Potassium,Fluffy Canadian Pancakes
5,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,28g,Total Carbohydrates,Fluffy Canadian Pancakes
6,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,0.8g,Dietary Fiber,Fluffy Canadian Pancakes
7,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,9.9g,Protein,Fluffy Canadian Pancakes
8,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/,3g,Sugars,Fluffy Canadian Pancakes
