,URL,amount,nutrient,recipe
0,https://www.allrecipes.com/recipe/21528/pesto-pizza/,19.9g,Total Fat,Pesto Pizza
1,https://www.allrecipes.com/recipe/21528/pesto-pizza/,8.0g,Saturated Fat,Pesto Pizza
2,https://www.allrecipes.com/recipe/21528/pesto-pizza/,36mg,Cholesterol,Pesto Pizza
3,https://www.allrecipes.com/recipe/21528/pesto-pizza/,937mg,Sodium,Pesto Pizza
4,https://www.allrecipes.com/recipe/21528/pesto-pizza/,164mg,Potassium,Pesto Pizza
5,https://www.allrecipes.com/recipe/21528/pesto-pizza/,39.3g,Total Carbohydrates,Pesto Pizza
6,https://www.allrecipes.com/recipe/21528/pesto-pizza/,3g,Dietary Fiber,Pesto Pizza
7,https://www.allrecipes.com/recipe/21528/pesto-pizza/,17.3g,Protein,Pesto Pizza
8,https://www.allrecipes.com/recipe/21528/pesto-pizza/,4g,Sugars,Pesto Pizza
9,https://www.allrecipes.com/recipe/21528/pesto-pizza/,571IU,Vitamin A,Pesto Pizza
10,https://www.allrecipes.com/recipe/21528/pesto-pizza/,17mg,Vitamin C,Pesto Pizza
11,https://www.allrecipes.com/recipe/21528/pesto-pizza/,282mg,Calcium,Pesto Pizza
12,https://www.allrecipes.com/recipe/21528/pesto-pizza/,1mg,Iron,Pesto Pizza
13,https://www.allrecipes.com/recipe/21528/pesto-pizza/,0mg,Thiamin,Pesto Pizza
14,https://www.allrecipes.com/recipe/21528/pesto-pizza/,1mg,Niacin,Pesto Pizza
15,https://www.allrecipes.com/recipe/21528/pesto-pizza/,0mg,Vitamin B6,Pesto Pizza
16,https://www.allrecipes.com/recipe/21528/pesto-pizza/,20mg,Magnesium,Pesto Pizza
17,https://www.allrecipes.com/recipe/21528/pesto-pizza/,19mcg,Folate,Pesto Pizza
0,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,17.8g,Total Fat,Zavioli with Spinach and Ricotta
1,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,6.0g,Saturated Fat,Zavioli with Spinach and Ricotta
2,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,73mg,Cholesterol,Zavioli with Spinach and Ricotta
3,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,240mg,Sodium,Zavioli with Spinach and Ricotta
4,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,717mg,Potassium,Zavioli with Spinach and Ricotta
5,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,13.6g,Total Carbohydrates,Zavioli with Spinach and Ricotta
6,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,2.9g,Dietary Fiber,Zavioli with Spinach and Ricotta
7,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,15.3g,Protein,Zavioli with Spinach and Ricotta
8,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,5g,Sugars,Zavioli with Spinach and Ricotta
9,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,2040IU,Vitamin A,Zavioli with Spinach and Ricotta
10,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,34mg,Vitamin C,Zavioli with Spinach and Ricotta
11,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,303mg,Calcium,Zavioli with Spinach and Ricotta
12,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,2mg,Iron,Zavioli with Spinach and Ricotta
13,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,0mg,Thiamin,Zavioli with Spinach and Ricotta
14,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,4mg,Niacin,Zavioli with Spinach and Ricotta
15,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,0mg,Vitamin B6,Zavioli with Spinach and Ricotta
16,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,70mg,Magnesium,Zavioli with Spinach and Ricotta
17,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,92mcg,Folate,Zavioli with Spinach and Ricotta
0,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,10g,Total Fat,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
1,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,1.0g,Saturated Fat,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
2,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,0mg,Cholesterol,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
3,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,1192mg,Sodium,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
4,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,2230mg,Potassium,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
5,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,44.8g,Total Carbohydrates,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
6,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,12.5g,Dietary Fiber,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
7,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,17.1g,Protein,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
8,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,9g,Sugars,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
9,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,1231IU,Vitamin A,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
10,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,14mg,Vitamin C,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
11,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,93mg,Calcium,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
12,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,5mg,Iron,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
13,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,0mg,Thiamin,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
14,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,23mg,Niacin,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
15,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,0mg,Vitamin B6,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
16,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,54mg,Magnesium,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
17,https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/,102mcg,Folate,Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce
0,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,53g,Total Fat,Summer Bounty 'Pasta'
1,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,31.0g,Saturated Fat,Summer Bounty 'Pasta'
2,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,173mg,Cholesterol,Summer Bounty 'Pasta'
3,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,148mg,Sodium,Summer Bounty 'Pasta'
4,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,797mg,Potassium,Summer Bounty 'Pasta'
5,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,17g,Total Carbohydrates,Summer Bounty 'Pasta'
6,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,2.8g,Dietary Fiber,Summer Bounty 'Pasta'
7,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,6.7g,Protein,Summer Bounty 'Pasta'
8,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,4g,Sugars,Summer Bounty 'Pasta'
9,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,3574IU,Vitamin A,Summer Bounty 'Pasta'
10,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,38mg,Vitamin C,Summer Bounty 'Pasta'
11,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,139mg,Calcium,Summer Bounty 'Pasta'
12,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,2mg,Iron,Summer Bounty 'Pasta'
13,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,0mg,Thiamin,Summer Bounty 'Pasta'
14,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,4mg,Niacin,Summer Bounty 'Pasta'
15,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,1mg,Vitamin B6,Summer Bounty 'Pasta'
16,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,55mg,Magnesium,Summer Bounty 'Pasta'
17,https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/,76mcg,Folate,Summer Bounty 'Pasta'
0,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,21.9g,Total Fat,Thai Rice Noodle Salad
1,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,3.0g,Saturated Fat,Thai Rice Noodle Salad
2,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,0mg,Cholesterol,Thai Rice Noodle Salad
3,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,1592mg,Sodium,Thai Rice Noodle Salad
4,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,226mg,Potassium,Thai Rice Noodle Salad
5,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,65.2g,Total Carbohydrates,Thai Rice Noodle Salad
6,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,2.4g,Dietary Fiber,Thai Rice Noodle Salad
7,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,3.9g,Protein,Thai Rice Noodle Salad
8,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,14g,Sugars,Thai Rice Noodle Salad
9,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,1827IU,Vitamin A,Thai Rice Noodle Salad
10,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,20mg,Vitamin C,Thai Rice Noodle Salad
11,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,42mg,Calcium,Thai Rice Noodle Salad
12,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,1mg,Iron,Thai Rice Noodle Salad
13,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,0mg,Thiamin,Thai Rice Noodle Salad
14,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,2mg,Niacin,Thai Rice Noodle Salad
15,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,0mg,Vitamin B6,Thai Rice Noodle Salad
16,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,26mg,Magnesium,Thai Rice Noodle Salad
17,https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/,49mcg,Folate,Thai Rice Noodle Salad
0,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,20.5g,Total Fat,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
1,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,3.0g,Saturated Fat,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
